Titulo,Link,Precio,Estado,Puntuación,Ubicación,Comentarios
Balanza Electronica Digital 1gr-5kg Sf-400 Comida Joya Envio,https://articulo.mercadolibre.com.pe/MPE-422223433-balanza-electronica-digital-1gr-5kg-sf-400-comida-joya-envio-_JM,18.0,Nuevo,4.8,"Magdalena Del Mar, Lima Metropolitana","{'0': 'Hola, puedes hacer un envio a los olivos hoy?', '1': 'hola bs tds puedes hacer un envio a los olivos hoy?', '2': 'hace envío a independencia?', '3': 'Sigue disponible? y se podia enviar a Carabayllo?', '4': 'Hola ¿podrían enviarlo hoy a Jesús María?', '5': 'Buenas noches, hay stock? Y cuánto sería el costo de envío a Santa Anita?', '6': 'Hola buenas tardes, está disponible. Cuál es el costo de envío a san isidro??', '7': 'Buenas me podrían dar la dirección exacta para ir a comprarla en magdalena , quiero pagar en efectivo , o alguna página para contactarme', '8': 'Buenas algún número de contacto, no se usar esta aplicación, deseo comprar con delivery a pueblo libre', '9': 'Ubicación exacta de la tienda para ir a comprarla'}"
Waffle Maker Blanik Bwm032 800w,https://articulo.mercadolibre.com.pe/MPE-605770863-waffle-maker-blanik-bwm032-800w-_JM,109.0,Nuevo,,,"{'0': 'Podrían dejarlo en marvisur para provincia?', '1': 'cual es la medida del producto?', '2': 'cuanto mide este modelo?', '3': 'Hola envío para chancay?', '4': 'Buen dia. Envian a Caraz Ancash ? Con que costo?', '5': 'Costó a Villa María del triunfo?', '6': 'Costo de envío a barranco? Gracias.', '7': 'Tengo una duda No son las mini wafleras, cierto?', '8': 'Hola qué tamaño es?', '9': 'Hola, tienes disponibles 2 unidades?'}"
Licuadora Oster Blstpyg1210rbg Reversible Vaso Blendngo,https://articulo.mercadolibre.com.pe/MPE-440919485-licuadora-oster-blstpyg1210rbg-reversible-vaso-blendngo-_JM,545.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Hola buenas noches, tienen Stock y de ser así hacen envío a provincia la quiero para Huaraz, Ancash.', '1': 'viene con el vaso portatil?', '2': 'Buen dia, tiene stock para envio a Breña', '3': 'Hola, hay stock? Hace envíos a Huacho?', '4': 'Wats de potencia ?', '5': 'Buenas dias quisiera saber si tienes en stock el producto y si hacen envíos a provincia como ayacucho', '6': 'Hola disponible aceptan mercado pago en color rojo envio a san miguel', '7': 'Esta disponible a cuanto a puerto maldonado'}"
Xiaomi - Mi Aspiradora Robot - Mop P,https://articulo.mercadolibre.com.pe/MPE-444784471-xiaomi-mi-aspiradora-robot-mop-p-_JM,1269.0,Nuevo,,¡Es uno de los mejores del sitio!,"{'0': 'Buenos días, el aspirador no actualiza su firmware en la región ""Perú"". Siendo el firmware actual en china el 3.5.8 , en la cuál se habilita la gestión de múltiples mapas, y en la región Perú sigue en el 3.5.3_0017 ¿Habrá alguna actualización para el país?', '1': 'No puedo comprar porque no reconoce a mi distrito y sin ello no puede continuar', '2': 'Con envío gratis a Madre de Dios mi estimado', '3': 'buenas prodre encontrar este producto en su tienda en Arequipa, gracias por la informacion', '4': 'https://articulo.mercadolibre.com.pe/MPE-441347866-xiaomi-mijia-mi-robot-vacuum-mop-p-aspiradora-inteligente-_JM?searchVariation=65150546988#searchVariation=65150546988&position=24&search_layout=grid&type=item&tracking_id=812d69e4-3d8f-4ddd-9216-2cce21fed560', '5': 'Hola, cuál es la diferente de este modelo HM070XIA02 vs STYJ02YM?', '6': 'Entonces por que la diferencia de precio?', '7': 'Buen día, producto en stock? Y quisiera saber cual o cuales son las diferencias específicas con la Mijia Mi Robot Vacuum Mop P?', '8': 'Una consulta, es el modelo STYJ02YM?', '9': 'Entregan factura?'}"
Bolsa Tela Para Aspiradora Thomas ,https://articulo.mercadolibre.com.pe/MPE-603117458-bolsa-tela-para-aspiradora-thomas-_JM,38.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Conforme quedamos minutos antes de la 1. Que opción le doy para la entrega?', '1': 'Si, no hay problema. Cuánto sería y en cuanto tiempo?. Quiero 2', '2': 'En insurgentes y Venezuela, Callao. Estoy a 15 min del aeropuerto', '3': 'Hola, tienes disponible? Podrá ser la entrega hoy? O para recoger?', '4': 'Hola, bolsa para aspiradora Wurden modelo WVC-PROBAT1400', '5': 'Hola me podría brindar la dirección exacta mñn boy a estar por el aeropuerto necesito el accesorio', '6': 'Buenas tardes, tiene en stock bolsa para aspiradora Thomas TH2210?', '7': 'Hola, disponible? Cuanto demoraria el envio a Jesus Maria?', '8': 'Hola busco bolsa para Thomas TH-2210. El que tienes es original?', '9': 'Hola. La bolsa es original de thomas?'}"
Horno Con Freidora De Aire Oster Tssttvmaf1,https://articulo.mercadolibre.com.pe/MPE-442741796-horno-con-freidora-de-aire-oster-tssttvmaf1-_JM,599.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Buenas tardes, si compro hoy , cuando me estaría llegando el delivery a Salamanca- Ate', '1': 'hasta cuanto de temperatura tiene,', '2': 'Buenas tardes acabo de realizar la compra del horno.favor de enviarme la boleta con mi número de DNI 42203230', '3': 'Algún links por favor', '4': 'Dónde ingreso', '5': 'La aplicación está fallando no permite hacer la compra', '6': 'Buenos días necesito saber si aún cuenta con stock y envíos para provincia de nasca para poder realizar la compra', '7': 'Buenas tarde aún cuenta con stock y hacen envíos para provincia', '8': 'Consulta se podría calentar empanadas', '9': 'Buenas, las medidas interiores son correspondiente a 32 de largo, 24 de fondo y 33 de alto? Por favor confirme la info, muchas gracias'}"
Licuadora Oster Activesense Blsttdtn00,https://articulo.mercadolibre.com.pe/MPE-441730184-licuadora-oster-activesense-blsttdtn00-_JM,889.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Hola , que es vaso de Tritan ?', '1': 'Hola, esta licuadora es para uso comercial?', '2': 'Tienes disponible? Que vaso de vídrio o tritan???', '3': 'Hola, si viene con el vaso de tritán, entonces también llega con su vaso blend&go?', '4': 'Estimado, buen día. Cuenta con stock? la licuadora viene con vaso de vidrio?', '5': 'cuentas con stock, es el mismo modelo del que viene con el vaso o cual es la diferencia solo por el vaso?', '6': 'Cuenta con un emvio para caylloma?', '7': 'Viene con el vaso blend N go?', '8': 'Entregan factura?', '9': 'Buenas días tienen en stock el producto para la entrega a ate y costo de envío?'}"
"Licuadora 1,25 Lts. 600 Watts Oster Modelo 250-22/ 2vel.",https://articulo.mercadolibre.com.pe/MPE-441491328-licuadora-125-lts-600-watts-oster-modelo-250-22-2vel-_JM,349.0,Nuevo,,"Ate, Lima Metropolitana","{'0': 'Cuenta con dsct de mercado libre??', '1': 'Tiene stock, es nueva y sellada?', '2': 'Estimadosbuenas tardes, agradecere confirmarme si tienen stock y si llegaría hoy mismo si confírmo la compra en estos momentos.', '3': 'Listo procedo con la compra de la plateada para ser entregada hoy día gracias', '4': 'Cuál es la diferencia entre la licuadora de 225soles negra y está amigo dgracias deded de antemano por su respuesta', '5': 'Viene en caja sellada es un regalo para mi hermana ?', '6': 'Hola estoy interesado en la licuadora nueva según lo ofrecido entrega boleta y garantía. Dígame vivo en surco hoy miércoles puede llegar la licuadora ? Confirmado? Gracias por su respuesta'}"
Hervidor Eléctrico Oster Bvstkt3101053 1.7 Lt,https://articulo.mercadolibre.com.pe/MPE-601364297-hervidor-electrico-oster-bvstkt3101053-17-lt-_JM,59.0,Nuevo,,,"{'0': 'Hola lo tienes para entrega inmediata en Trujillo ?', '1': 'Hola, por el horario de trabajo no puedo estar hasta las 6 PM en casa, se puede acordar la entrega a esa hora?', '2': 'Ok ! Entiendo .. cuánto sería el costo adicional hasta la ciudad de Tacna !?', '3': 'Hola , buenos días ... Siguen con la promoción de envío gratis a nivel nacional !? .. gracias', '4': 'Precio de envio a AREQUPA - MOLLENDO ?', '5': 'Hola. Que tipo es el enchufe?', '6': 'Para Palpa, Ica? Por Agencia', '7': 'Es de vidrio?', '8': 'El producto lo puedo recoger en tienda efe camana', '9': 'Envio a Bocanegra-Callao?'}"
Limpiador Vapor Sc4 Easyfix 3.5bar Rendimiento 100m2 Karcher,https://articulo.mercadolibre.com.pe/MPE-444286459-limpiador-vapor-sc4-easyfix-35bar-rendimiento-100m2-karcher-_JM,2084.9,Nuevo,,¡Es uno de los mejores del sitio!,"{'0': 'Hola tiene stock para envio inmediato a provincia', '1': 'Ya realicé la compra y el pago. Solo falta que se acredite', '2': 'Brindan Factura', '3': 'Hola, hacen envío a Iquitos?', '4': 'Dispones de stock?', '5': '¿Para cuándo tendrán la SC5?', '6': 'como es la entrega', '7': 'Hola dan factura y envían a trujillo?', '8': 'Necesito un equipo que me ayude con la limpieza de la alfombra del cuarto de mis niñas. Que equipo me recomendarian?', '9': 'Buenas tardes, una consulta, sirve para aspirar pisos laminados?'}"
Xiaomi Mi Robot Vacuum Mop - Aspiradora Inteligente ,https://articulo.mercadolibre.com.pe/MPE-607311175-xiaomi-mi-robot-vacuum-mop-aspiradora-inteligente-_JM,899.0,Nuevo,,¡Es uno de los mejores del sitio!,"{'0': 'Hola, No me esta aceptando el cupon CYBERBBVA', '1': 'No entiendo las diferentes versiones que anuncian. Algunas son P y otras Essential pero otras ninguna de las dos. Cuál es la diferencia?', '2': 'Esta no es la versión Essential, cierto?', '3': 'La tarjeta no tiene problemas ya hice compras con ella, pero cuando añado el codigo sale que ya no es valido', '4': 'Hay algun numero para comunicarme enserio estoy interesado por dicho producto y no me dejq acceder al cupon', '5': 'dice que el cupon ya no esta vigente', '6': 'Disculpe este producto no tendra cupon de descuento?'}"
Batidora+moledora De Carne Finezza Fz-6820b De 2000w Rojo,https://articulo.mercadolibre.com.pe/MPE-444064238-batidoramoledora-de-carne-finezza-fz-6820b-de-2000w-rojo-_JM,769.0,Nuevo,,"Santa Anita, Lima Metropolitana","{'0': 'Tienen tienda fisica,para probarla? La otra opcion podrian ponerla en Agencia Pacasmayo o Olva Curier?', '1': 'tiene disponible, lo pueden llevar hoy mismo a la Av. Luna Pizarro 456 La Victoria', '2': 'Sige disponible con envío a Arequipa motor 2000w', '3': 'Tienes stock? Necesito uno', '4': 'En que tiempo llegaría a Chimbote?', '5': 'Hola, hacen envios a chombote? que garantia cuenta el producto? El publicado es el modelo de 2000w o 1300w?', '6': 'Se le puede adaptar vaso de licuadora tambien? Y el vaso lo venden aparte?', '7': 'Buenos días,son originales? Aún le queda de 2000w', '8': 'Tendrás para 10 lt y cuánto sería de l precio', '9': 'Cuánto sería más le precio de envío'}"
Cafetera Espresso Y Cappuccino Oster Bvstecmp65r,https://articulo.mercadolibre.com.pe/MPE-447477859-cafetera-espresso-y-cappuccino-oster-bvstecmp65r-_JM,479.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Buenas tardes, se puede utilizar sin las cápsulas que indica? No entiendo eso.', '1': 'Hola. Es de 220 o requiere transformador?', '2': 'Buenos días, tienen stock de la cafetera? Hacen delivery a San Borja? Cuánto tiempo toma el delivery?', '3': 'Genial, haré la compra para envío a Huaral', '4': 'Aun cuenta con stock?', '5': 'Disculpa, envíos hacia Cusco? Indica envío gratis? O hay algún Adicional', '6': 'Si, pero mi pregunta es solo el tipo de capsulas porque dice nesspreso y no se donde se encuentra, la mayoria son dolce gusto, quiero saber donde las encuentro las de nesspreso y si los sabores son iguales', '7': 'dilsulpa pero no entiendo, quiero saber sobre las capsulas que puedo usar', '8': 'Hola, cuales son las capsulas nesspreso? no puedo poner las dolce gusto?', '9': '360 soles en plaza vea'}"
"Mini Licuadora Bate, Corta Y Pica Philips Hr2604",https://articulo.mercadolibre.com.pe/MPE-604764158-mini-licuadora-bate-corta-y-pica-philips-hr2604-_JM,289.0,Nuevo,,"Ate, Lima Metropolitana","{'0': 'puedo licuar hielo aquí para hacer tragos?', '1': 'Qué capacidad es el vaso más pequeño?', '2': 'tambien se puede preparar frappes ya que tiene q picar hielo', '3': 'Es portatil para recargar o cin enchife. Estoy buscando una portatil a baterías o recargable.', '4': 'Jola tu licuadora es portatil, tiene oafa r3cargar o es von enchige'}"
Vaso Para Licuadora Philips (hr2094),https://articulo.mercadolibre.com.pe/MPE-434331142-vaso-para-licuadora-philips-hr2094-_JM,59.0,Nuevo,5.0,"Lima, Lima Metropolitana","{'0': 'Y hay forma que le pueda mandar la foto de mi base para que me pueda decir que vaso corresponde y cómo tengo que hacer para comprarlo', '1': 'Hay forma que le mande una foto de mi base para poder enseñarle con exactitud la base que tengo. Y si quiero comprar el otro vaso cómo tengo que hacer ?', '2': 'Buenas tardes creo que tengo el modelo anterior. Es negro con detalle rojo. Solo necesito el vaso sin tapa, Como me puedo comunicar con usted para pedir el vaso para ese modelo?', '3': 'Lo compre por efectivo...me brinda un numero para mostrarle el pago', '4': 'Como hacemos el contacto', '5': 'Lo necesito urgente como me puedo comunicar con usted', '6': 'Necesito comprar compar el vaso de la licuadora philis hr2094', '7': 'Buenas noches', '8': 'Es compatible con vaso para licuadora HR2096?.. O tendrá vaso para esta licuadora?. Muchas gracias', '9': 'saludos, deseo comprar un baso de HR2094,'}"
Hervidor Electrico De 2.5 Litros De Acero Inoxidable Facusa,https://articulo.mercadolibre.com.pe/MPE-443553365-hervidor-electrico-de-25-litros-de-acero-inoxidable-facusa-_JM,112.9,Nuevo,,"Santiago De Surco, Lima Metropolitana","{'0': 'Tienes stock? Si compro ahora cuando me llega? Soy de san Miguel, Lima. Tiene apagado automático verdad???', '1': 'Que viene en la caja?', '2': 'Los envíos son gratis? Llega hasta la puerta de mi casa en Huancayo?', '3': 'Hola buenas tardes podría hacer el envío para Otuzco la Libertad por la empresa Shalom?', '4': 'Muy buenos días hace envíos para provincias (Puno)', '5': 'Buenas tardes, cuenta con stock, cuándo me lo entregaría si lo compro hoy y cuánto es el delivery hasta Av, Alejandro Bertello cdra 7 - Cercado de Lima'}"
Cafetera Expresso 19 Bares Imaco Iecm192t,https://articulo.mercadolibre.com.pe/MPE-440286054-cafetera-expresso-19-bares-imaco-iecm192t-_JM,435.0,Nuevo,,"Ate, Lima Metropolitana","{'0': 'Gracias tienes catálogo. En la foto se ve espumador si me das el modelo lo verificamos', '1': 'En la foto se ve espumador de leche. Puedes verficar por favor?', '2': 'Hola podrás desspecharlo hoy a la molina? Tambuen necesito batidora y horno eléctrico', '3': 'Buenas noches tiene cafetera con moledora digital?', '4': 'buenas, emites factura?', '5': 'Hola atiene espumador de leche?', '6': 'Hola tiene espumador de leche?', '7': 'Hola disponibilidad para enviar a recoger esta tarde?', '8': 'Ok gracias! Confirmo la compra y la envían el sábado por favor a San Borja (Favor confirmar) . Saludos', '9': 'Buenos dias , la tienen disponible? Y la podrian despachar ahora mismo? O que alternativas me daria?'}"
Vaso Original Para Licuadora Oster Pro Blstmg,https://articulo.mercadolibre.com.pe/MPE-434331086-vaso-original-para-licuadora-oster-pro-blstmg-_JM,49.0,Nuevo,4.8,"Lima, Lima Metropolitana","{'0': 'ESTE VASO, LE HACE A CUALQUIER LICUADORA OSTER, ALGUN NÚMERO DE CONTACTO', '1': 'buenas noches el vaso es boroclass de oster porque veo parecido al vaso de mi licuadora BLSTMG-M15 quiero saber si es para ese modelo de oster y el envio a junin mas precio', '2': 'Cuanto tiempo se demora en hacer la entrega?', '3': 'soy de san miguel puedo pagar con yape?', '4': 'mi licuadora es oster bpst02 le hace y resiste el calor?', '5': 'Hola quise comprar y me sale que el costo de envío es 7 soles y n las preguntas me indicas que es gratis para todo lima. Deseo comprar adicional la rosca y cuchillas', '6': 'Haces envío mañana? Confirmeme los precios porfavor y si puede pagarse con tarjeta', '7': 'Hola, deseo comprar el vaso junto con l atapa y cuchillas Cómo hago para pagarlo todo por ML?', '8': 'cuanto cuesta el envio de 2 vasos oster a los olivos', '9': 'Hola 3lnvaso es compatible con este modelo Blsteg7806u053'}"
Procesador De Alimentos Philips Hr7631/90,https://articulo.mercadolibre.com.pe/MPE-447637712-procesador-de-alimentos-philips-hr763190-_JM,359.0,Nuevo,,"Ate, Lima Metropolitana","{'0': 'me puede decrie que funcoisnes tiene la maquina??', '1': 'Todavia a la venta?', '2': 'En la foto se ve lo que parece ser un adaptador para extractor de cítricos, este está incluido en la caja? No aparece listado en la publicaciones.', '3': 'vendes las cuchillas separadas', '4': 'Hola, venden el eje del vaso procesador modelo HR7778?', '5': 'Hace envíos a Arequipa ?', '6': 'puedo hacer harina de avena con este producto?', '7': 'Se puede hacer harina de avena o otro granos con este producto?', '8': 'Que procesadora me recomienda para poder hacer mantequilla de almendra también, busco una que me dure y sea de buena marca', '9': 'Buenas, estoy interesado en la procesadora la quiero usar para hacer mantequilla de maní, estoy comprando lo con una licuadora de 1600w, pero me dicen que una procesadora sería mejor, me podría explicar un poco porfa'}"
Freidora De Aire Oster 1.8 Litros,https://articulo.mercadolibre.com.pe/MPE-445877980-freidora-de-aire-oster-18-litros-_JM,199.11,Nuevo,,"Puente Piedra, Lima Metropolitana","{'0': 'Puede enviarme a provincia?', '1': 'Aun tienen?', '2': 'A provincia lo pueden enviar por shalom ? Cuanto más seria a huacho ?', '3': 'En cuánto tiempo envían el producto después del pago ? Tienen tienda física ??', '4': 'Cuales son las dimenciones de la freidora no indica en la descripcion gracias.', '5': 'Aún está disponible el producto ? Para comprarlo le tengo que dar al botón de comprar? El envío es gratis ?', '6': 'Buenas noches realizan envíos a la ciudad de tumbes', '7': 'envio a tacna gratis?', '8': 'A trujillo es gratis el envio', '9': 'delivery a sjl, cuanto?'}"
Hervidor Eléctrico De Agua Sc 20 Inoxidable 2 Litros Cocina,https://articulo.mercadolibre.com.pe/MPE-443552794-hervidor-electrico-de-agua-sc-20-inoxidable-2-litros-cocina-_JM,34.0,Nuevo,,"Magdalena Del Mar, Lima Metropolitana","{'0': 'Hola tienes el producto y si tiene caja??', '1': 'Hola, cuánto saldría envío a chorrilos? Gracias', '2': 'Buena haces contra entrega tienes local', '3': 'Haces pago contra entrega', '4': 'buenas noches, en que distrito se encuentra su tienda...', '5': 'Pero al querer pagar el producto me dice el envio es de 35 soles', '6': 'Envio a kimbiri cusco por logistica terrestre quisnavar?', '7': 'Buenas cuanto seria el costo total hasta Arequipa (envío incluído)??', '8': 'Marca?', '9': 'buenas, tiene stock, y cuanto es el envio a huanuco?'}"
Extractor De Jugos Oster Fpstje320r 600 Watts  Rojo,https://articulo.mercadolibre.com.pe/MPE-441087903-extractor-de-jugos-oster-fpstje320r-600-watts-rojo-_JM,419.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Stock disponible? Envíos a provincia?', '1': 'Tienes Stock Disponible , Envios a La Libertad Por que Agencia??', '2': 'Envío para provincia ?', '3': 'Precio, que modelos son y marcas ?', '4': 'Tendrás combo de extractora más licuadora ?', '5': 'Hola buenas tardes , tienen stock de la extractora, que tiempo es la garantía ?', '6': 'Me gustaría comprar pero radico en San Ignacio, cerca Jaén. En algunas ocasiones que he comprado me han enviado mediante encomienda en la empresa Divino Señor, podría enviarla por allí si decido comprarla.', '7': 'Hola hacen envío a cusco? Cuanto es por el envío', '8': 'Que modelo es mejor en oster porfa que uds tengan', '9': 'buenos días hacen envíos a provincia estoy en tingo Maria Huánuco cuanto seria el costo de envio'}"
